route_id,route2,type2,veh_size,carrier,routetype,feature,lim_up,lim_down,buslane,capacity,lot
1137,41,tram,ЛМ,ГЭТ,город,,,минимум,,90,get_tm
1097,41,trolley,ТУАХ,ГЭТ,город,,нет ТУАХ ОБК,,,60,get_tb
1565,42,bus,СК,"ООО ""Такси""",город,,,минимум,,40,11
1682,43,bus,БК,"ООО ""Вест-Сервис""",город,,частник,,,60,6
1132,43,tram,ЛМ,ГЭТ,город,,,минимум,,90,get_tm
1099,43,trolley,ТУАХ,ГЭТ,город,,нет ТУАХ ОБК,,,60,get_tb
5581,44,trolley,БК,ГЭТ,город,,,минимум,,60,get_tb
1680,45,bus,БК,"АО ""Третий парк""",город,,частник,,,60,3
1135,45,tram,ЛМ/ЛВС,ГЭТ,город,,,,,110,get_tm
1103,45,trolley,БК/ОБК,ГЭТ,город,,,,,70,get_tb
1504,46,bus,БК,ПАТ,город,,,,,60,pat
1100,46,trolley,ТУАХ,ГЭТ,город,,нет ТУАХ ОБК,,,60,get_tb
1566,47,bus,СК,"ООО ""Такси""",город,,,минимум,,40,18
1120,47,tram,ЛВС,ГЭТ,город,доп,максимум,,есть,140,get_tm
1104,47,trolley,ТУАХ,ГЭТ,город,,нет ТУАХ ОБК,минимум,,60,get_tb
369,48,bus,СК,"ООО ""Вест-Сервис""",город,,,минимум,,40,8
1131,48,tram,ЛВС,ГЭТ,город,,максимум,,,140,get_tm
1102,48,trolley,БК,ГЭТ,город,,,,,60,get_tb
1278,49,bus,БК,ПАТ,город,,,,,60,pat
1133,49,tram,ЛВС,ГЭТ,город,,максимум,,,140,get_tm
1255,50,bus,ОБК/БК,ПАТ,город,,,,,80,pat
1101,50,trolley,БК,ГЭТ,город,,,,,60,get_tb
1134,51,tram,ЛМ,ГЭТ,город,,,минимум,есть,90,get_tm
4455,52,bus,СК,"ООО ""Вест-Сервис""",город,,габарит,минимум,,40,6
1136,52,tram,ЛВС,ГЭТ,город,,максимум,,есть,140,get_tm
1692,53,bus,БК,"ООО ""Домтрансавто""",город,,частник,,,60,10
1734,54,bus,БК,ПАТ,город,,,,,60,pat
2435,55,bus,БК,"ООО ""Вест-Сервис""",город,,частник,,,60,9
1138,55,tram,ЛВС,ГЭТ,город,,максимум,,,140,get_tm
1303,56,bus,ОБК/БК,ПАТ,город,,,,,80,pat
1139,56,tram,ЛВС,ГЭТ,город,доп,максимум,,есть,140,get_tm
1602,57,bus,СК,"ООО ""Домтрансавто""",город,,,минимум,,40,10
1126,57,tram,ЛМ,ГЭТ,город,,,минимум,,90,get_tm
371,58,bus,БК,"ООО ""Вест-Сервис""",город,пром,частник,,,60,9
1142,58,tram,ЛМ,ГЭТ,город,,,минимум,есть,90,get_tm
1736,59,bus,БК,ПАТ,город,,,,,60,pat
1141,59,tram,Штадлер,ТКК,город,,максимум,минимум,есть,180,tkk
1548,60,bus,БК,"АО ""Третий парк""",город,,частник,,,60,2
1140,60,tram,ЛВС,ГЭТ,город,,максимум,,есть,140,get_tm
1550,61,bus,БК,ПАТ,город,,,,,60,pat
1143,61,tram,ЛМ,ГЭТ,город,,,минимум,,90,get_tm
1693,62,bus,БК,"ООО ""Домтрансавто""",город,,частник,,,60,4
1127,62,tram,ЛМ/ЛВС,ГЭТ,город,,,,есть,110,get_tm
1694,63,bus,БК,"ООО ""Домтрансавто""",город,,частник,,,60,10
6687,63,tram,Штадлер,ТКК,город,,максимум,минимум,есть,180,tkk
1738,64,bus,БК,"ООО ""Домтрансавто""",город,,частник,,,60,10
1130,64,tram,Штадлер,ТКК,город,,максимум,минимум,есть,180,tkk
370,65,bus,БК,ПАТ,город,,,,,60,pat
1129,65,tram,ЛМ/ЛВС,ГЭТ,город,,,,,110,get_tm
1261,66,bus,СК,"ООО ""Вест-Сервис""",город,,габарит,минимум,,40,5
1695,67,bus,СК,"ООО ""Вест-Сервис""",город,,габарит,минимум,,40,6
1721,68,bus,БК,"ООО ""Домтрансавто""",город,,частник,,,60,4
338,69,bus,БК,"АО ""Третий парк""",город,,частник,,,60,2
1258,70,bus,СК,"ООО ""Вест-Сервис""",город,,габарит,минимум,,40,6
1253,71,bus,СК,"ООО ""Вест-Сервис""",город,,габарит,минимум,,40,6
