route_id,route2,type2,veh_size,carrier,routetype,feature,lim_up,lim_down,buslane,capacity,lot
6686,330,bus,БК,"ООО ""Вест-Сервис""",ГП,Колпино,частник,,,60,7
1540,331,bus,БК,"ООО ""Вест-Сервис""",пригород,,частник,1 машина,,60,7
1702,332,bus,СК,"ООО ""Вест-Сервис""",пригород,,,минимум,,40,7
7649,333,bus,СК,"ООО ""Вест-Сервис""",город,,,минимум,,40,6
1541,335,bus,БК,"ООО ""Вест-Сервис""",пригород,,частник,,,60,7
1703,336,bus,СК,"ООО ""Вест-Сервис""",пригород,,,минимум,,40,7
1704,337,bus,БК,"ООО ""Вест-Сервис""",пригород,,частник,,,60,7
6606,339,bus,СК,"ООО ""Вест-Сервис""",пригород,,,минимум,,40,8
8248,342,bus,СК,"ООО ""Вест-Сервис""",ГП,Пушкин,,минимум,,40,8
7652,345,bus,СК,"ООО ""Вест-Сервис""",ГП,,габарит,минимум,,40,6
1751,347,bus,СК,"ООО ""Вест-Сервис""",пригород,кладб,,минимум,,40,5
1724,348,bus,СК,"ООО ""Вест-Сервис""",пригород,,,минимум,,40,5
1745,349,bus,СК,"ООО ""Вест-Сервис""",пригород,,масса,минимум,,40,5
1788,350,bus,БК,"ООО ""Вест-Сервис""",пригород,,частник,1 машина,,60,5
1746,352,bus,СК,"ООО ""Вест-Сервис""",пригород,,,минимум,,40,5
1789,353,bus,СК,"ООО ""Вест-Сервис""",пригород,,,минимум,,40,5
1790,354,bus,СК,"ООО ""Вест-Сервис""",пригород,,,минимум,,40,5
1296,355,bus,СК,"ООО ""Вест-Сервис""",пригород,,,минимум,,40,5
1298,356,bus,БК,ПАТ,пригород,,,,,60,pat
